Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
CARRIER,CVAMA3617XMA*,CVAMA3617XMA*,CVAMA3617XMA*,217595624,35400,16,,,No
CARRIER,CVAMA3617XMA*,CVAMA3617XMA*,CVAMA3617XMA*,217595623,35400,16,,,No
CARRIER,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588578,58000,14.5,,,No
CARRIER,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588577,58000,14.5,,,No
CARRIER,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588576,58000,14.5,,,No
CARRIER,CVAVA6024XMA*,CVAVA6024XMA*,CVAVA6024XMA*,217588551,57000,14.3,,,No
CARRIER,CVAVA6024XMA*,CVAVA6024XMA*,CVAVA6024XMA*,217588550,57000,14.3,,,No
CARRIER,CVAVA6024XMA*,CVAVA6024XMA*,CVAVA6024XMA*,217588549,57000,14.3,,,No
CARRIER,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588525,57500,14.3,,,No
CARRIER,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588524,57500,14.3,,,No
CARRIER,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588523,57500,14.3,,,No
CARRIER,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588499,57500,14.5,,,No
CARRIER,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588498,57500,14.5,,,No
CARRIER,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588497,57500,14.5,,,No
CARRIER,CSAH*6012AM*,CSAH*6012AM*,CSAH*6012AM*,217588473,58000,14.5,,,No
CARRIER,CSAH*6012AM*,CSAH*6012AM*,CSAH*6012AM*,217588472,58000,14.5,,,No
CARRIER,CSAH*6012AM*,CSAH*6012AM*,CSAH*6012AM*,217588471,58000,14.5,,,No
CARRIER,CAA**6124AM*,CAA**6124AM*,CAA**6124AM*,217588447,59000,14.5,,,No
CARRIER,CAA**6124AM*,CAA**6124AM*,CAA**6124AM*,217588446,59000,14.5,,,No
CARRIER,CAA**6124AM*,CAA**6124AM*,CAA**6124AM*,217588445,59000,14.5,,,No
CARRIER,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588325,47500,15,,,No
